id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34169391,Apartment 10 Room 3 Shanowen Square (Double Room),160402201,Lorna,,Dublin City,53.38837,-6.25793,Private room,100,3,3,09-08-2021,0.05,32,4,0,
34169516,Apartment 10 Room 4 Shanowen Square,160402201,Lorna,,Dublin City,53.34882,-6.25945,Private room,60,3,8,15-08-2024,0.16,32,4,3,
34405294,Stunning Coastal Family Home in vibrant Malahide,31388831,Colin,,Fingal,53.44589,-6.13513,Entire home/apt,,8,16,27-08-2024,0.26,1,0,2,
34435269,Bright & Modern House close to the Dart & Sea,39533344,Esme,,Dn Laoghaire-Rathdown,53.28363,-6.13025,Entire home/apt,,5,1,08-07-2024,0.45,1,0,1,
34506178,small private room in lovely house,15730788,Katja,,Dublin City,53.31554,-6.24614,Private room,,2,13,18-08-2024,0.49,2,0,4,
34552881,Generator - Bed in  6 Bed Female Dorm with Private Bathroom,251479861,Generator,,Dublin City,53.34819031,-6.278048038,Shared room,47,1,86,20-06-2024,1.36,3,11,9,
34571694,One bedroom flat - Central location,46647780,Elaine,,Dublin City,53.3592119,-6.25459287,Entire home/apt,100,14,16,01-08-2024,0.57,13,19,6,
34598110,Cosy self contained studio for 2,46647780,Elaine,,Dublin City,53.35895,-6.25472,Entire home/apt,110,60,51,27-07-2024,0.85,13,63,8,
34640460,Studio flat   - central location,46647780,Elaine,,Dublin City,53.35898,-6.25309,Entire home/apt,89,60,36,04-08-2024,0.56,13,18,7,
34687372,Historic & Charming Studio Apart near City Centre.,256243375,Vincent,,South Dublin,53.29572,-6.29666,Entire home/apt,,2,94,11-09-2020,1.46,1,1,0,
34691862,Studio apartment - Central location,46647780,Elaine,,Dublin City,53.35723,-6.25298,Entire home/apt,100,27,74,17-08-2024,1.16,13,20,8,
34692075,One bed apartment - Central location,46647780,Elaine,,Dublin City,53.35935,-6.25371,Entire home/apt,,30,32,21-09-2023,0.51,13,14,1,
34733733,The King Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35161,-6.27056,Entire home/apt,419,1,103,28-08-2024,1.61,7,181,55,
34736280,Purty Townhouse-Spacious 2 bedroom/2 bathroom unit,102770641,Maya,,Dn Laoghaire-Rathdown,53.29409,-6.1494,Entire home/apt,183,2,251,06-09-2024,4.07,2,236,58,
34768412,The Wynne Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35372,-6.26873,Entire home/apt,419,1,19,23-07-2024,0.3,7,185,12,
34785846,Stay just off Grafton Street,262294576,Peter,,Dublin City,53.34043,-6.26526,Entire home/apt,446,2,300,31-08-2024,4.65,1,241,72,
34799579,Studio Dublin 1,46647780,Elaine,,Dublin City,53.35795,-6.25491,Entire home/apt,85,30,34,23-08-2024,0.53,13,34,6,
34799980,The Gandon Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35336,-6.26858,Entire home/apt,389,1,61,25-08-2024,0.98,7,170,12,
34800427,The Malton Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35169,-6.27054,Entire home/apt,389,1,27,19-08-2024,0.46,7,187,15,
34802119,The Grafton Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35165,-6.2705,Entire home/apt,369,1,50,16-07-2024,0.81,7,189,15,
34803323,The Shannon Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35166,-6.27036,Entire home/apt,369,1,23,27-06-2024,0.37,7,189,5,
34803941,The Gardiner Suite-Historic City Centre Apartment,261939475,Henrietta Suites,,Dublin City,53.35141,-6.27052,Entire home/apt,349,1,19,30-06-2024,0.3,7,178,8,
34838791,you historical stay in the heart of Dublin,255382601,Mark,,Dublin City,53.33324,-6.27237,Entire home/apt,207,2,411,09-09-2024,6.37,1,246,86,
34866713,Private room near the best spots of Dublin,30021630,Mario Mauricio,,Dublin City,53.3453,-6.28012,Private room,131,2,31,18-08-2024,0.49,1,172,12,
34897418,J,16989346,Judith,,Dublin City,53.31787,-6.28377,Private room,36,60,1,15-08-2022,0.04,1,79,0,
34931021,Drury Court Hotel- super central Dublin hotel,256945665,Drury,,Dublin City,53.34016,-6.26514,Private room,238,1,53,16-04-2024,0.9,7,328,10,
34931054,Drury Court Hotel- super central Dublin hotel,256945665,Drury,,Dublin City,53.34221,-6.26409,Private room,273,1,219,27-08-2024,3.67,7,332,46,
34931128,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,,Dublin City,53.34004,-6.26331,Private room,283,1,3,17-03-2023,0.06,7,330,0,
34931178,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,,Dublin City,53.34171,-6.26525,Private room,253,1,152,10-08-2024,2.38,7,331,29,
34931800,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,,Dublin City,53.34191,-6.26325,Private room,,1,3,04-04-2023,0.08,7,328,0,
34931838,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,,Dublin City,53.34034,-6.26509,Private room,,1,7,17-08-2024,0.23,7,331,1,
34931848,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,,Dublin City,53.34235,-6.26405,Private room,253,1,228,10-09-2024,3.58,7,330,44,
34988967,"Executive Apt in Blackrock, (min 90 day rentals)",16943695,Aoife Mary,,Dn Laoghaire-Rathdown,53.3001,-6.18656,Entire home/apt,200,28,10,13-09-2021,0.16,1,262,0,
34991332,Bungalow in scenic country setting near airport,263627728,Evelyn,,Fingal,53.570614,-6.28918,Entire home/apt,70,2,369,03-09-2024,5.75,1,90,82,
35005088,A BIJOUX JEWEL IN BLACKROCK VILLAGE NEAR THE SEA.,30155554,Deirdre,,Dn Laoghaire-Rathdown,53.3019371,-6.179051876,Entire home/apt,361,4,26,24-08-2024,0.41,1,269,3,
35141834,2BR charming Apt beside Merrion Sq,264430227,Mary,,Dublin City,53.34055,-6.24578,Entire home/apt,130,14,77,27-03-2024,1.2,1,254,3,
35157457,"Entire, modern, spacious Family Home - 5 bedroom",12382222,Marie,,Dublin City,53.37662,-6.1827,Entire home/apt,,3,5,09-06-2024,0.2,1,0,2,
35206674,Dreamy City Center Victorian Home,54339181,Conor,,Dublin City,53.33261,-6.269,Entire home/apt,450,4,48,26-08-2024,1.88,1,43,26,
35210012,Female only* new house Portmarnock train station,158579263,Maria,,Fingal,53.41622,-6.14921,Private room,184,1,4,12-09-2022,0.06,2,89,0,
35229089,Traditional 2 Bedroom apt in Donnybrook Dublin,483439255,Rocio,,Dublin City,53.31773,-6.23319,Entire home/apt,181,14,68,17-08-2024,1.06,4,80,22,
35243415,Double bed with balcony in luxury apartment,15306607,Andreas,,Dn Laoghaire-Rathdown,53.28295,-6.19499,Private room,75,1,41,03-09-2024,1.15,2,103,19,
35247934,"Kinsealy Downs, 6 bedrooms, 3 bathrooms, 3 Showers",265368904,Peter,,Fingal,53.445438,-6.200194,Entire home/apt,,2,6,16-07-2024,0.23,1,0,1,
35274738,Dublin Centre-Quiet double-bed & Private bathroom,33204838,Jessica,,Dublin City,53.35021,-6.28435,Private room,97,3,172,26-08-2024,2.68,1,10,48,
35340639,"Single room in Belgard Heights, Tallaght, Dublin24",262010851,Linda,,South Dublin,53.29731,-6.3844,Private room,60,2,46,06-09-2024,0.72,1,194,2,
35372523,Cosy Private Room in Quiet Home,31810133,Kevin,,South Dublin,53.27,-6.33335,Private room,56,1,125,08-09-2024,1.96,1,43,40,
35559705,"City 15 min on dart
Airport 15 min drive",264096300,Sean,,Dublin City,53.37918,-6.19214,Private room,140,2,234,08-09-2024,3.82,1,120,55,
35563076,"House, Shankill, Dublin",130550825,Mark,,Dn Laoghaire-Rathdown,53.24008,-6.12872,Entire home/apt,220,1,5,31-10-2022,0.08,1,13,0,
35569423,"Relaxing hideaway, close to Airport and Malahide.",18585197,Daren,,Fingal,53.44299,-6.20041,Private room,90,2,105,02-07-2024,1.65,1,198,8,
35576859,Big bright family home near the city and the sea,170802120,Louise,,Dn Laoghaire-Rathdown,53.30963,-6.20849,Entire home/apt,,2,10,30-06-2024,0.16,1,0,1,
35608363,RDS and Aviva stadium Neighbour,112062166,Gav And Trisha,,Dublin City,53.33062,-6.22536,Entire home/apt,120,14,48,27-08-2024,0.77,35,51,3,
35673359,RiverView Suite - Templebar Rooms,247178939,Hiphipstay,,Dublin City,53.34703139,-6.266916314,Private room,217,1,103,28-08-2024,1.63,5,154,35,
35713748,Room to rent in Trendy Stoneybatter,28014381,David,,Dublin City,53.35293,-6.28446,Private room,,28,9,31-08-2024,0.14,1,0,2,
35725592,"Quiet 1 bed in Sandycove,Glasthule near beach",35680310,Brenda,,Dn Laoghaire-Rathdown,53.28452,-6.11897,Entire home/apt,130,2,23,26-08-2024,0.37,1,23,7,
